"Nome";"Código";"Latitude";"Longitude";"Altitude";"Status da Operação";"Ínicio da Operação"
"CEARA MIRIM - RN";82596;-5.65;-35.65;61.35;"Estação Operante";"01/06/1967"
"CHAPADINHA - MA";82382;-3.73;-43.35;103.5;"Estação Operante";"28/08/1976"
"CHAPECO - SC";83883;-27.11;-52.61;679.01;"Estação Operante";"10/05/1973"
"CIPO - BA";83192;-11.08;-38.51;145.31;"Estação Operante";"01/01/1935"
"COARI - AM";82425;-4.08;-63.13;46;"Estação Operante";"01/01/1926"
"CODAJAS - AM";82326;-3.83;-62.08;48;"Estação Operante";"19/08/1974"
"COLINAS - MA";82676;-6.03;-44.25;179.75;"Estação Operante";"19/05/1976"
"CONCEICAO DO ARAGUAIA - PA";82861;-8.26;-49.26;156.85;"Estação Operante";"19/03/1920"
"CORDEIRO - RJ";83718;-22.02;-42.36;505.92;"Estação Operante";"16/07/1971"
"CORONEL PACHECO - MG";83037;-21.55;-43.26;435;"Estação ";"01/01/1955"
"CORRENTINA - BA";83286;-13.33;-44.61;549.47;"Estação Operante";"11/08/1975"
"CORUMBA - MS";83552;-19.02;-57.67;130;"Estação Operante";"01/05/1912"
"CRATEUS - CE";82583;-5.16;-40.66;296.82;"Estação Operante";"01/12/1962"
"CRUZ ALTA - RS";83912;-28.63;-53.6;472.5;"Estação Operante";"02/02/1912"
"CRUZ DAS ALMAS - BA";83222;-12.66;-39.08;225.87;"Estação Operante";"01/01/1958"
"CRUZEIRO DO SUL - AC";82704;-7.6;-72.66;170;"Estação Operante";"01/01/1928"
"CRUZETA - RN";82693;-6.43;-36.58;226.46;"Estação Operante";"01/01/1930"
"CUIABA - MT";83361;-15.61;-56.1;145;"Estação Operante";"01/01/1911"
"CURITIBA - PR";83842;-25.43;-49.26;923.5;"Estação Operante";"01/01/1911"
"CURVELO - MG";83536;-18.75;-44.45;672;"Estação Operante";"03/09/1912"
"DIAMANTINA - MG";83538;-18.23;-43.64;1296.12;"Estação Operante";"13/04/1918"
"DIAMANTINO - MT";83309;-14.4;-56.45;286.3;"Estação Operante";"01/01/1932"
"DIVINOPOLIS - MG";83635;-20.17;-44.87;788.35;"Estação Operante";"11/10/1995"
"EIRUNEPE - AM";82610;-6.66;-69.86;104;"Estação Operante";"01/01/1928"
"ENCRUZILHADA DO SUL - RS";83964;-30.53;-52.51;427.75;"Estação Operante";"01/05/1913"
"ESPERANTINA - PI";82298;-3.9;-42.25;87.05;"Estação Operante";"17/03/1974"
"ESPINOSA - MG";83338;-14.91;-42.8;569.64;"Estação Operante";"01/03/1974"
"FEIRA DE SANTANA - BA";83221;-12.18;-38.96;230.68;"Estação Operante";"01/01/1939"
"FLORANIA - RN";82691;-6.11;-36.81;324.45;"Estação Operante";"19/12/1962"
"FLORESTAL - MG";83581;-19.88;-44.41;760;"Estação Operante";"09/04/1960"
"FLORIANO - PI";82678;-6.76;-43.01;123.27;"Estação Operante";"21/01/1968"
"FLORIANOPOLIS - SC";83897;-27.58;-48.56;1.84;"Estação Operante";"01/12/1921"
"FONTE BOA - AM";82212;-2.53;-66.16;55.57;"Estação Operante";"01/01/1925"
"FORMOSA - GO";83379;-15.54;-47.33;935.19;"Estação Operante";"01/01/1925"
"FORMOSO - MG";83334;-14.93;-46.25;840;"Estação Operante";"03/04/1976"
"FORTALEZA - CE";82397;-3.81;-38.53;26.45;"Estação Operante";"27/10/1919"
"FRANCA - SP";83630;-20.58;-47.36;1026.2;"Estação Operante";"01/01/1911"
"FRUTAL - MG";83574;-20.03;-48.93;543.67;"Estação Operante";"27/11/1913"
"GARANHUNS - PE";82893;-8.88;-36.51;822.76;"Estação Operante";"01/02/1913"
"GLEBA CELESTE - MT";83264;-12.28;-55.29;415;"Estação Operante";"06/07/1972"
"GOIANIA - GO";83423;-16.66;-49.25;741.48;"Estação Operante";"11/07/1937"
"GOIAS - GO";83374;-15.91;-50.13;512.22;"Estação Operante";"20/04/1946"
"GUARAMIRANGA - CE";82487;-4.28;-39;870.67;"Estação Operante";"01/02/1911"
"GUARATINGA - BA";83446;-16.73;-39.54;194.67;"Estação Operante";"10/09/1973"
"GUARULHOS - SP";83075;-23.43;-46.46;735;"Estação Operante";"03/09/1983"
"IAUARETE - AM";82067;0.61;-69.18;120;"Estação Operante";"16/07/1943"
"IBIRITE - MG";83632;-20.01;-44.05;814.54;"Estação Operante";"06/04/1959"
"IGUATU - CE";82686;-6.36;-39.29;217.67;"Estação Operante";"01/01/1911"
"IMPERATRIZ - MA";82564;-5.53;-47.48;123.3;"Estação Operante";"01/01/1913"
"INDAIAL - SC";83872;-26.9;-49.21;86.13;"Estação Operante";"14/10/1970"
"IPAMERI - GO";83522;-17.71;-48.16;772.99;"Estação Operante";"10/02/1977"
"IRAI - RS";83881;-27.18;-53.23;247.1;"Estação Operante";"01/06/1935"
"IRATI - PR";83836;-25.46;-50.63;836.95;"Estação Operante";"24/09/1966"
"IRECE - BA";83182;-11.3;-41.86;747.16;"Estação Operante";"01/12/1970"
"ITABAIANINHA - SE";83195;-11.11;-37.81;208;"Estação Operante";"06/08/1923"
"ITABERABA - BA";83244;-12.51;-40.28;249.89;"Estação Operante";"21/08/1931"
"ITACOATIARA - AM";82336;-3.13;-58.43;40;"Estação Operante";"01/01/1927"
"ITAITUBA - PA";82445;-4.28;-55.98;45;"Estação Operante";"01/01/1928"
"ITAMARANDIBA - MG";83488;-17.85;-42.85;914;"Estação Operante";"27/03/1925"
"ITAPERUNA - RJ";83695;-21.2;-41.9;123.59;"Estação Operante";"01/01/1922"
"ITIRUCU  JAGUAQUARA  - BA";83295;-13.35;-40.11;755.61;"Estação Operante";"01/08/1941"
"ITUACU - BA";83292;-13.81;-41.3;531.43;"Estação Operante";"18/02/1973"
"ITUIUTABA - MG";83521;-18.95;-49.52;560;"Estação Operante";"16/11/1979"
"ITUMBIARA - GO";83523;-18.41;-49.21;449;"Estação Operante";"10/06/1989"
"IVAI - PR";83811;-25;-50.86;808;"Estação Operante";"01/01/1912"
"IVINHEMA - MS";83704;-22.3;-53.81;369.2;"Estação Operante";"25/07/1966"
"JACOBINA - BA";83186;-11.18;-40.46;484.74;"Estação Operante";"01/12/1912"
"JAGUARUANA - CE";82493;-4.78;-37.76;11.71;"Estação Operante";"01/01/1914"
"JANAUBA - MG";83395;-15.8;-43.29;516;"Estação Operante";"15/03/1975"
"JANUARIA - MG";83386;-15.45;-44;473.71;"Estação Operante";"19/06/1912"
"JATAI - GO";83464;-17.91;-51.71;662.86;"Estação Operante";"24/11/1978"
"JOAO PESSOA - PB";82798;-7.1;-34.86;7.43;"Estação Operante";"01/01/1912"
"JOAO PINHEIRO - MG";83481;-17.73;-46.17;760.36;"Estação Operante";"09/12/1925"
"JUIZ DE FORA - MG";83692;-21.76;-43.36;939.96;"Estação Operante";"01/01/1910"
"JURAMENTO - MG";83452;-16.77;-43.66;648;"Estação Operante";"14/11/1986"
"LABREA - AM";82723;-7.25;-64.83;61;"Estação Operante";"30/11/1972"
"LAGES - SC";83891;-27.81;-50.33;936.83;"Estação Operante";"01/01/1914"
"LAGOA VERMELHA - RS";83916;-28.21;-51.5;840;"Estação Operante";"01/06/1914"
"LAMBARI - MG";83032;-21.94;-45.31;878.45;"Estação Operante";"01/06/1976"
"LAVRAS - MG";83687;-21.75;-45;918.84;"Estação Operante";"18/02/1911"
"LENCOIS - BA";83242;-12.56;-41.38;438.74;"Estação Operante";"01/09/1931"
"LONDRINA - PR";83766;-23.31;-51.13;566;"Estação Operante";"11/12/1953"
"LUZILANDIA LAG DO PIAUI  - PI";82296;-3.41;-42.28;49;"Estação Operante";"18/05/1972"
"MACAPA - AP";82098;-0.05;-51.11;14.46;"Estação Operante";"01/01/1925"
"MACAU - RN";82594;-5.15;-36.57;32;"Estação Operante";"18/11/1908"
"MACEIO - AL";82994;-9.66;-35.7;64.5;"Estação Operante";"01/01/1909"
"MACHADO - MG";83683;-21.68;-45.94;873.35;"Estação Operante";"01/09/1961"
"MANAUS - AM";82331;-3.1;-60.01;61.25;"Estação Operante";"01/01/1910"
"MANICORE - AM";82533;-5.81;-61.3;50;"Estação Operante";"01/01/1928"
"MARABA - PA";82562;-5.36;-49.13;95;"Estação Operante";"01/01/1952"
"MARINGA - PR";83767;-23.4;-51.91;542;"Estação Operante";"01/12/1953"
"MATUPA - MT";83214;-10.25;-54.91;285;"Estação Operante";"15/12/1986"
"MOCAMBINHO - MG";83389;-15.08;-44.01;452;"Estação Operante";"01/11/1975"
"MONTE ALEGRE - PA";82181;-2;-54.1;145.85;"Estação Operante";"09/03/1974"
"MONTE AZUL - MG";83388;-15.16;-42.86;625;"Estação Operante";"01/03/1974"
"MONTE SANTO - BA";83090;-10.43;-39.29;464.6;"Estação Operante";"15/05/1913"
"MONTEIRO - PB";82792;-7.88;-37.06;603.66;"Estação Operante";"14/01/1940"
"MONTES CLAROS - MG";83437;-16.68;-43.84;652;"Estação Operante";"01/01/1912"
"MORADA NOVA - CE";82588;-5.11;-38.36;43.62;"Estação Operante";"01/10/1962"
"MORRO DO CHAPEU - BA";83184;-11.21;-41.21;1003.27;"Estação Operante";"13/01/1913"
"NATAL - RN";82598;-5.91;-35.2;48.6;"Estação Operante";"01/01/1911"
"NHUMIRIM  NHECOLANDIA  - MS";83513;-18.98;-56.62;89;"Estação Operante";"01/07/1984"
"NOVA XAV  XAVANTINA  - MT";83319;-14.7;-52.35;316;"Estação Operante";"05/08/1987"
"OBIDOS - PA";82178;-1.91;-55.51;37;"Estação Operante";"01/01/1927"
"OURICURI - PE";82753;-7.9;-40.04;459.28;"Estação Operante";"16/09/1975"
"PADRE RICARDO REMETTER - MT";83364;-15.78;-56.06;140;"Estação Operante";"01/01/1986"
"PALMAS - TO";83033;-10.19;-48.3;280;"Estação Operante";"08/10/1993"
"PALMEIRA DOS INDIOS - AL";82992;-9.44;-36.7;274.9;"Estação Operante";"01/01/1928"
"PAO DE ACUCAR - AL";82990;-9.75;-37.43;19.1;"Estação Operante";"14/03/1927"
"PARACATU - MG";83479;-17.24;-46.88;712;"Estação Operante";"13/05/1918"
"PARANAGUA - PR";83844;-25.53;-48.51;4.5;"Estação Operante";"01/01/1911"
"PARANAIBA - MS";83565;-19.75;-51.18;331.25;"Estação Operante";"07/07/1971"
"PARINTINS - AM";82240;-2.63;-56.73;29;"Estação Operante";"01/01/1912"
"PARNAIBA - PI";82287;-3.08;-41.76;79.5;"Estação Operante";"16/11/1970"
"PASSO FUNDO - RS";83914;-28.21;-52.4;684.05;"Estação Operante";"01/08/1912"
"PATOS - PB";82791;-7.01;-37.26;249.09;"Estação Operante";"17/10/1975"
